title,translation,file
Brzana – od połowu do obiadu,GETTY,"#6041 - Dzień Dobry TVN - Brzana - ryba brzana, okres ochronny, na co bierze _ Dzień Dobry TVN.docx"
"Gdzie na grzyby? Gdzie rosną prawdziwki, podgrzybki, kurki?",GETTY,#6102 - Dzień Dobry TVN - Gdzie na grzyby - gdzie są obecnie grzyby_ _ Dzień Dobry TVN.docx
Tradycyjna kuchnia polska – przepisy kulinarne,GETTY,#6164 - Dzień Dobry TVN - Kuchnia polska - przepisy tradycyjnej polskiej kuchni _ Dzień Dobry TVN.docx
Majsterkowanie dla dzieci w każdym wieku!,GETTY,"#6181 - Dzień Dobry TVN - Majsterkowanie - dla dzieci, pomysły, zrób to sam _ Dzień Dobry TVN.docx"
"Grzyby jadalne w Polsce. Odmiany, właściwości, występowanie",GETTY,#6107 - Dzień Dobry TVN - Grzyby jadalne w Polsce - jakie występują_ _ Dzień Dobry TVN.docx
Smaczny pomysł na śniadanie lub podwieczorek? Naleśniki z budyniem!,GETTY,"#6216 - Dzień Dobry TVN - Naleśniki z budyniem - przepis, ciasto _ Dzień Dobry TVN.docx"
Zupa pho - z czym to się je po wietnamsku?,GETTY,#5984 - Dzień Dobry TVN - Zupa Pho - jak zrobić wietnamską zupę z kurczakiem _ Dzień Dobry TVN.docx
"Zupa krem pomidorowa na wiele sposobów - z serem, grzankami, bazylią",GETTY,"#5977 - Dzień Dobry TVN - Zupa krem pomidorowa - z grzankami, mozzarellą _ Dzień Dobry TVN.docx"
Szybkie ciasta bez pieczenia. Pomysł na niebanalny deser,GETTY,#6046 - Dzień Dobry TVN - Ciasta bez pieczenia - proste przepisy na ciasta _ Dzień Dobry TVN.docx
"Zupa z soczewicy czerwonej, zielonej, zupa krem z soczewicy - przepisy na pyszne dania jednogarnkowe",GETTY,"#5992 - Dzień Dobry TVN - Zupa z soczewicy - czerwonej, zielonej. Przepisy _ Dzień Dobry TVN.docx"
Zupa meksykańska – aromatyczne i kolorowe danie,GETTY,#5979 - Dzień Dobry TVN - Zupa meksykańska - przepis na meksykańską zupę _ Dzień Dobry TVN.docx
"Naleśniki bez mleka, czyli jak przyrządzić kultowe danie tak, by nie szkodziło i wyśmienicie smakowało ",GETTY,#6211 - Dzień Dobry TVN - Naleśniki bez mleka - przepis bez mleka i jajek _ Dzień Dobry TVN.docx
Kania (grzyb) - jak rozpoznać? Jakie ma wartości odżywcze? Jak odróżnić kanię od muchomora?,GETTY,#6132 - Dzień Dobry TVN - Kania - jak odróżnić kanię od muchomora_ Wygląd _ Dzień Dobry TVN.docx
Jak wykonać decoupage na drewnie i na szkle? Metoda decoupage krok po kroku,GETTY,#6077 - Dzień Dobry TVN - Decoupage - na drewnie i na szkle. Krok po kroku _ Dzień Dobry TVN.docx
Wymiana prawa jazdy – wzór wniosku i koszt wymiany dokumentu,GETTY,"#5967 - Dzień Dobry TVN - Wymiana prawa jazdy - wniosek, wzór. Ile kosztuje_ _ Dzień Dobry TVN.docx"
Karp królewski – jak wygląda i smakuje?,GETTY,#6135 - Dzień Dobry TVN - Karp królewski - jak wygląda karp królewski_ _ Dzień Dobry TVN.docx
"Ciasto marchewkowe - przepisy. Zobacz, jak zrobić ciasto marchewkowe - wilgotne i pyszne!",GETTY,#6053 - Dzień Dobry TVN - Ciasto marchewkowe - jak upiec ciasto_ Przepisy _ Dzień Dobry TVN.docx
"Smażony, pieczony i gotowany dorsz czarniak – który przepis wybrać?",GETTY,"#6086 - Dzień Dobry TVN - Dorsz czarniak - właściwości, przepis. Ryba _ Dzień Dobry TVN.docx"
Co przygotować na kolację z przyjaciółmi? ,GETTY,#6075 - Dzień Dobry TVN - Coś dobrego na kolację z przyjaciółmi - pomysły _ Dzień Dobry TVN.docx
"Zupa grochowa – wojskowa, domowa. Grochówka na wiele sposobów",GETTY,"#5971 - Dzień Dobry TVN - Zupa grochowa - z ziemniakami, boczkiem. Przepisy _ Dzień Dobry TVN.docx"
Jak ozdobić pudełko na chusteczki metodą decoupage? Chustecznik decoupage krok po kroku,GETTY,#6045 - Dzień Dobry TVN - Chustecznik decoupage - jak go wykonać_ _ Dzień Dobry TVN.docx
W czym na ryby? Dobieramy buty wędkarskie do warunków panujących nad wodą ,GETTY,"#6043 - Dzień Dobry TVN - Buty wędkarskie - zimowe, letnie. Spodniobuty _ Dzień Dobry TVN.docx"
Kuchnia meksykańska - przepisy.,GETTY,#6163 - Dzień Dobry TVN - Kuchnia meksykańska - przepisy. Charakterystyka _ Dzień Dobry TVN.docx
"Grzyby marynowane. Przepisy na marynaty, porady, marynowanie krok po kroku",GETTY,#6108 - Dzień Dobry TVN - Grzyby marynowane - jak marynować grzyby_ _ Dzień Dobry TVN.docx
"Grzyby marynowane. Przepisy na marynaty, porady, marynowanie krok po kroku",GETTY,#6108 - Dzień Dobry TVN - Grzyby marynowane - jak marynować grzyby_ _ Dzień Dobry TVN.docx
Tradycyjna zupa jarzynowa? A może zupa jarzynowa krem? Sprawdzony przepis na pyszną zupę jarzynową,GETTY,#5974 - Dzień Dobry TVN - Zupa jarzynowa - przepis na pyszną zupę jarzynową _ Dzień Dobry TVN.docx
"Leki na przeziębienie w ciąży - które z nich można zażywać? Dowiedz się, jakie leki na przeziębienie i ból gardła w ciąży nie zaszkodzą dziecku.",GETTY,#6173 - Dzień Dobry TVN - Leki na przeziębienie w ciąży - jakie leki zażywać_ _ Dzień Dobry TVN.docx
Kolczyki tunele i fake plugi. Jak je nosić? Poradnik,GETTY,#6145 - Dzień Dobry TVN - Kolczyki tunele - kolczyki wyglądające jak tunele _ Dzień Dobry TVN.docx
"Zupa czosnkowa – na rosole, z grzankami i serem. W jaki sposób przyrządzić, aby smakowała najlepiej?",GETTY,"#5969 - Dzień Dobry TVN - Zupa czosnkowa - na rosole, z grzankami i serem _ Dzień Dobry TVN.docx"
"Przepis na ciasto z owocami – jak zrobić, aby było szybko i smacznie",GETTY,#6065 - Dzień Dobry TVN - Ciasto z owocami - przepis na ciasto z owocami _ Dzień Dobry TVN.docx
Suszone grzyby krok po kroku. Jak je przygotować i przyrządzić?,GETTY,#6109 - Dzień Dobry TVN - Grzyby suszone - jak przygotować_ Przechowywanie _ Dzień Dobry TVN.docx
Dobry kołowrotek spinningowy  – pewny sposób na wodne drapieżniki,GETTY,"#6148 - Dzień Dobry TVN - Kołowrotek spinningowy - dobry. Do 100zł, do 200 zł _ Dzień Dobry TVN.docx"
Lin  – jak smakuje ta ryba? Jak się ją czyści? Jak hoduje?,GETTY,"#6174 - Dzień Dobry TVN - Lin ryba - smak, czyszczenie, właściwości. Hodowla _ Dzień Dobry TVN.docx"
"Naleśniki z pieczarkami i serem, czyli doskonały pomysł na obiad.",GETTY,"#6219 - Dzień Dobry TVN - Naleśniki z pieczarkami - serem, kurczakeim, cebulą _ Dzień Dobry TVN.docx"
"Naleśniki z truskawkami, czyli truskawkowa słodycz i sycący naleśnik. Sprawdź, jak je zrobić!",GETTY,"#6221 - Dzień Dobry TVN - Naleśniki z truskawkami - przepis, z mascarpone _ Dzień Dobry TVN.docx"
"Który przepis na ciasto ze śliwkami wybrać, aby było szybko i smacznie?",GETTY,"#6067 - Dzień Dobry TVN - Ciasto ze śliwkami - drożdżowe, ucierane, jogurtowe _ Dzień Dobry TVN.docx"
"Jak przyrządzić dorsza atlantyckiego – smażony, z piekarnika, z grilla czy na parze?",GETTY,"#6084 - Dzień Dobry TVN - Dorsz atlantycki - polędwica, pieczony. Czy zdrowy_ _ Dzień Dobry TVN.docx"
"Ciasto bananowe - jeden wypiek, wiele wersji. Z czekoladą, fi, bezglutenowe - wybierz przepis dla siebie",GETTY,"#6047 - Dzień Dobry TVN - Ciasto bananowe - fit, czekoladowe, bezglutenowe _ Dzień Dobry TVN.docx"
Co to jest piercing - czy i jak ozdabiać ciało kolczykami?,GETTY,#6073 - Dzień Dobry TVN - Co to jest piercing - co to znaczy piercing_ _ Dzień Dobry TVN.docx
"Duet idealny czyli przepisy na naleśniki z bananami. Proste i inspirujące pomysły na danie, które uwielbiają wszyscy.",GETTY,"#6215 - Dzień Dobry TVN - Naleśniki z bananami - przepis, z serem, jak zrobić_ _ Dzień Dobry TVN.docx"
Kołowrotek z wolnym biegiem – do jakiej metody wędkowania można go wykorzystać?,GETTY,"#6149 - Dzień Dobry TVN - Kołowrotek z wolnym biegiem - karpiowy, na suma _ Dzień Dobry TVN.docx"
Zupa ogonowa – tradycyjna zupa staropolska. Sposoby podania.,GETTY,"#5981 - Dzień Dobry TVN - Zupa ogonowa - z makaronem, ziemniakami. Przepis _ Dzień Dobry TVN.docx"
Pomysły na drugie śniadanie fit – coś na słodko i coś na słono,GETTY,#6088 - Dzień Dobry TVN - Drugie śniadanie fit - pomysł na drugie śniadanie fit _ Dzień Dobry TVN.docx
Haft krzyżykowy - nauka dla początkujących. Jak zacząć haftować krzyżykami?,GETTY,"#6122 - Dzień Dobry TVN - Haft krzyżykowy - schematy, wykonanie krok po kroku Dzień Dobry TVN.docx"
"Prosty przepis na ciasto z jabłkami – jak zrobić, żeby było tanio i szybko?",GETTY,#6063 - Dzień Dobry TVN - Ciasto z jabłkami - jak upiec dobre ciasto z jabłkami_ _ Dzień Dobry TVN.docx
Zupa grzybowa od święta i na co dzień,GETTY,"#5972 - Dzień Dobry TVN - Zupa grzybowa - wigilijna, z suszonych grzybów _ Dzień Dobry TVN.docx"
Jajka decoupage krok po kroku,GETTY,"#6124 - Dzień Dobry TVN - Jajka decoupage - ze styropianu, jak je zrobić_ _ Dzień Dobry TVN.docx"
"Pomysł na kolację na ciepło, czyli jak zachwycić gości i zachęcić dzieci do jedzenia.",GETTY,#6074 - Dzień Dobry TVN - Coś dobrego na kolację na ciepło - dla gości i dzieci _ Dzień Dobry TVN.docx
Podgrzybek zajączek – jadalny grzyb do marynowania i nie tylko,GETTY,#6104 - Dzień Dobry TVN - Grzyb zajączek - co zrobić z grzybów zajączków _ Dzień Dobry TVN.docx
"Grzyby jadalne blaszkowe – jak odróżnić je od trujących? Poznaj najpopularniejsze grzyby blaszkowe, które możesz włączyć do menu.",GETTY,#6035 - Dzień Dobry TVN - Blaszkowe grzyby jadalne - jak je rozpoznać_ _ Dzień Dobry TVN.docx
Wartość odżywcza i wykorzystanie dorsza czarnego - przepisy na dania z tej ryby,GETTY,"#6087 - Dzień Dobry TVN - Dorsz czarny - wartości odżywcze, filet. Ryba _ Dzień Dobry TVN.docx"
Przepisy na naleśniki na słodko to droga przez żołądek do serca każdego łasucha,GETTY,"#6213 - Dzień Dobry TVN - Naleśniki na słodko - przepis, z serem, bananami _ Dzień Dobry TVN.docx"
Jak powstaje bombka z origami? Papierowe bombki krok po kroku,GETTY,#6036 - Dzień Dobry TVN - Bombka z origami - papierowe bombki krok po kroku _ Dzień Dobry TVN.docx
"Łódka wędkarska: wybrać nową czy używaną? Jak transportować? Czym się kierować, wybierając do niej silnik?",GETTY,"#6180 - Dzień Dobry TVN - Łódka wędkarska - z przyczepą, kabinowa _ Dzień Dobry TVN.docx"
"Naleśniki z mięsem mielonym po meksykańsku, czyli obiad idealny na każdą okazję.",GETTY,"#6218 - Dzień Dobry TVN - Naleśniki z mięsem - mielonym, po meksykańsku _ Dzień Dobry TVN.docx"
"Przepis na naleśniki amerykańskie, które osłodzą każdy ponury poranek",GETTY,"#6210 - Dzień Dobry TVN - Naleśniki amerykańskie - przepis, jak zrobić_ _ Dzień Dobry TVN.docx"
Kania (grzyb) - jak rozpoznać? Jakie ma wartości odżywcze? Jak odróżnić kanię od muchomora?,GETTY,#6132 - Dzień Dobry TVN - Kania - jak odróżnić kanię od muchomora_ Wygląd _ Dzień Dobry TVN(1).docx
"Co zjeść na kolację, aby schudnąć, lepiej spać i ćwiczyć?",GETTY,#6072 - Dzień Dobry TVN - Co powinno się jeść na kolację - pomysły na kolację _ Dzień Dobry TVN.docx
Jak malować po butelce? Decoupage na butelce krok po kroku.,GETTY,#6042 - Dzień Dobry TVN - Butelki decoupage - jak malować po butelce_ _ Dzień Dobry TVN.docx
Stare monety polskie – towar chodliwy od wielu lat,GETTY,#6187 - Dzień Dobry TVN - Monety polskie - złote i srebrne. Gdzie sprzedać_ _ Dzień Dobry TVN.docx
"Ciasto z dynią – fit, z jabłkami, tradycyjne amerykańskie czy z orzechami. Dynia na wiele sposobów.",GETTY,#6062 - Dzień Dobry TVN - Ciasto z dyni - szybki przepis na ciasto bez jajek _ Dzień Dobry TVN.docx
"Borowik szlachetny, szatański i inne odmiany borowików",GETTY,"#6038 - Dzień Dobry TVN - Borowik - wygląd, rodzaje. Gdzie rosną borowiki_ _ Dzień Dobry TVN.docx"
Zupa cebulowa – doskonałe remedium na pluchę i zimno,GETTY,"#5968 - Dzień Dobry TVN - Zupa cebulowa - z grzankami, z serem. Bez wina _ Dzień Dobry TVN.docx"
Co na przeziębienie w ciąży? Poznaj wszystkie niezbędne informacje na temat przyjmowania leków w ciąży,GETTY,#6071 - Dzień Dobry TVN - Co na przeziębienie w ciąży - jakie leki można brać_ _ Dzień Dobry TVN.docx
"Pomysły na naleśniki francuskie, które pozwolą odkryć ich potencjał na nowo",GETTY,"#6212 - Dzień Dobry TVN - Naleśniki francuskie - nadzienie, przepis na ciasto _ Dzień Dobry TVN.docx"
"Dobieramy haczyki na ryby. Wybór jest bardzo duży, na co zwrócić uwagę?",GETTY,"#6121 - Dzień Dobry TVN - Haczyki - metalowe, wędkarskie, karpiowe. Na ryby _ Dzień Dobry TVN.docx"
Ciąża a przeziębienie. Jak przeziębienie wpływa na dziecko we wczesnej ciąży i na jej dalszych etapach?,GETTY,#6069 - Dzień Dobry TVN - Ciąża a przeziębienie - wpływ na dziecko _ Dzień Dobry TVN.docx
"Przepis na ciasto z budyniem - dobry na łatwy deser z owocami, galaretką lub z kokosem",GETTY,#6061 - Dzień Dobry TVN - Ciasto z budyniem - przepis na łatwe i tanie ciasto _ Dzień Dobry TVN.docx
"Przepis na szybkie ciasto z makiem – jak je upiec, aby było pyszne",GETTY,"#6064 - Dzień Dobry TVN - Ciasto z makiem - przepis na pyszne, kruche ciasto _ Dzień Dobry TVN.docx"
Monety okolicznościowe – sposób na trafioną inwestycję?,GETTY,#6186 - Dzień Dobry TVN - Monety okolicznościowe - gdzie można je sprzedać_ _ Dzień Dobry TVN.docx
Zupa fasolowa – przepis na tradycyjną zupę z boczkiem lub na żeberkach,GETTY,#5970 - Dzień Dobry TVN - Zupa fasolowa - przepis. Tradycyjna z boczkiem _ Dzień Dobry TVN.docx
"Naleśniki po meksykańsku, czyli rozgrzewający i pożywny posiłek, który łączy kuchnię europejską z meksykańską",GETTY,"#6214 - Dzień Dobry TVN - Naleśniki po meksykańsku - zapiekane, przepis _ Dzień Dobry TVN.docx"
"Filatelistyka polska - znaczki, wycena. Jakie są najdroższe znaczki polskie? Jak wygląda cennik znaczków zagranicznych?",GETTY,#6092 - Dzień Dobry TVN - Filatelistyka - co to jest_ Pasja znaczków pocztowych _ Dzień Dobry TVN.docx
Słodka zupa „nic” nie tylko dla dzieci. Sposoby przyrządzenia,GETTY,"#5980 - Dzień Dobry TVN - Zupa Nic - z jajek, z budyniem i piankami. Przepisy _ Dzień Dobry TVN.docx"
Bombki decoupage krok po kroku,GETTY,"#6037 - Dzień Dobry TVN - Bombki decoupage - ze styropianu, plastikowe _ Dzień Dobry TVN.docx"
"Ciasto krówka - bez pieczenia, na herbatnikach, na biszkopcie, z masą budyniową. Poznaj proste przepisy!",GETTY,#6052 - Dzień Dobry TVN - Ciasto krówka - szybki i prosty przepis na ciasto _ Dzień Dobry TVN.docx
"Szybkie ciasto z truskawkami – przepisy na ciasto, które warto wypróbować",GETTY,#6066 - Dzień Dobry TVN - Ciasto z truskawkami - łatwe przepisy na ciasto _ Dzień Dobry TVN.docx
"Prawo jazdy od 16 lat, czyli na jakie kategorie mogą zdawać osoby niepełnoletnie?",GETTY,#5964 - Dzień Dobry TVN - Prawo jazdy od 16 lat - ile kosztuje_ Gdzie zrobić_ _ Dzień Dobry TVN.docx
Krupnik – rozgrzewająca i sycąca zupa na zimowe dni ,GETTY,#5978 - Dzień Dobry TVN - Zupa krupnik - z kaszą jęczmienną. Prosty przepis _ Dzień Dobry TVN.docx
